Event Disaster ID,Event Name,Countries affected ,Event Disaster Type ,Event Death toll (Estimate)
disaster_1,1917 Guatemala earthquakes ,Guatemala ,Earthquake ,2650
disaster_2,1918 Shantou earthquake ,China,Earthquake ,1000
disaster_3,1918 Shantou earthquake ,Taiwan,Earthquake ,1000
disaster_4,1918 Shantou earthquake ,Philippines ,Earthquake ,1000
disaster_5,1919 Florida Keys hurricane ,United States ,Tropical cyclone ,772
disaster_6,1920 Haiyuan earthquake ,Mongolia ,Earthquake ,236700
disaster_7,1920 Haiyuan earthquake ,China ,Earthquake ,236700
disaster_8,September 1921 San Antonio floods ,United States ,Flood ,215
disaster_9,1922 Swatow typhoon ,Philippines ,Tropical cyclone ,75000
disaster_10,1922 Swatow typhoon ,China ,Tropical cyclone ,75000
disaster_11,1923 Great Kantō earthquake ,Japan ,Earthquake ,142800
disaster_12,1924 India floods ,India ,Flood ,1000
disaster_13,1925 Dali earthquake ,China ,Earthquake ,5000
disaster_14,1926 Havana–Bermuda hurricane ,Cuba ,Tropical cyclone ,709
disaster_15,1926 Havana–Bermuda hurricane ,United States,Tropical cyclone ,709
disaster_16,1926 Havana–Bermuda hurricane ,Bahamas ,Tropical cyclone ,709
disaster_17,1926 Havana–Bermuda hurricane ,Bermuda ,Tropical cyclone ,709
disaster_18,1927 Gulang earthquake ,China,Earthquake ,40900
disaster_19,1927 Gulang earthquake ,Tibet ,Earthquake ,40900
disaster_20,1928 Okeechobee hurricane ,United States,Tropical cyclone ,4112
disaster_21,1928 Okeechobee hurricane ,Puerto Rico,Tropical cyclone ,4112
disaster_22,1928 Okeechobee hurricane ,Guadeloupe,Tropical cyclone ,4112
disaster_23,1928 Okeechobee hurricane ,Bahamas,Tropical cyclone ,4112
disaster_24,1928 Okeechobee hurricane ,Dominica,Tropical cyclone ,4112
disaster_25,1929 Kopet Dag earthquake ,Iran,Earthquake ,3529
disaster_26,1929 Kopet Dag earthquake ,Turkmenistan ,Earthquake ,3529
disaster_27,1930 San Zenón hurricane ,Dominican Republic ,Tropical cyclone ,3529
disaster_28,1931 China floods ,China ,Flood ,2211250
disaster_29,1932 Cuba hurricane ,Cayman Islands,Tropical cyclone ,3103
disaster_30,1932 Cuba hurricane ,Cuba ,Tropical cyclone ,3103
disaster_31,1933 Diexi earthquake ,China ,Earthquake ,8083
disaster_32,1934 Nepal–India earthquake ,Nepal ,Earthquake,11350
disaster_33,1934 Nepal–India earthquake ,India ,Earthquake,11350
disaster_34,1935 Quetta earthquake ,Pakistan ,Earthquake,45000
disaster_35,1936 North American heat wave ,United States,Heat wave ,5000
